State,Year,Income,Unemployment,Population_Density,AgeAdj_Rate,z_Income,z_Unemployment,z_Population_Density,z_AgeAdj_Rate
North Dakota,2008.0,69580,3.2,3.593842333192171,8.4,-0.2726335831506136,-1.1898610060545651,-0.27319306447642305,-0.702708621870132
North Dakota,2009.0,70480,4.1,3.593842333192171,8.8,-0.19862260765588804,-0.7447022482001969,-0.27319306447642305,-0.616517316115511
North Dakota,2010.0,70820,3.8,3.763914681912264,9.5,-0.17066290580232507,-0.8930885008183197,-0.2728646686885028,-0.46568253104492446
North Dakota,2011.0,75900,3.5,3.763914681912264,8.8,0.2470879336567925,-1.0414747534364424,-0.2728646686885028,-0.616517316115511
North Dakota,2012.0,73680,3.1,3.763914681912264,10.4,0.06452752743646946,-1.2393230902606063,-0.2728646686885028,-0.2717520930970272
North Dakota,2013.0,77220,2.9,3.763914681912264,11.8,0.35563736438238996,-1.3382472586726881,-0.2728646686885028,0.029917477044146257
North Dakota,2014.0,78160,2.7,3.763914681912264,12.2,0.43293771656576996,-1.43717142708477,-0.2728646686885028,0.11610878279876692
North Dakota,2015.0,73950,2.8,3.763914681912264,12.8,0.08673082008488713,-1.3877093428787293,-0.2728646686885028,0.24539574143069867
North Dakota,2016.0,76840,3.1,3.763914681912264,11.9,0.3243882858401725,-1.2393230902606063,-0.2728646686885028,0.05146530348280142
North Dakota,2017.0,75490,2.7,3.763914681912264,13.1,0.21337182259808418,-1.43717142708477,-0.2728646686885028,0.3100392207466642
North Dakota,2018.0,81790,2.6,3.763914681912264,11.5,0.731448651061163,-1.486633511290811,-0.2728646686885028,-0.03472600227181962
North Dakota,2019.0,84870,2.2,3.763914681912264,12.4,0.9847306560875572,-1.6844818481149748,-0.2728646686885028,0.15920443567607762
North Dakota,2020.0,76900,5.0,4.3599205835191865,13.5,0.3293223508731542,-0.2995434903458281,-0.2717138300651978,0.3962305265012852
Ohio,2000.0,73460,4.0,107.28263686187186,7.7,0.04643595564886988,-0.7941643324062376,-0.07297848736265133,-0.8535434069407187
Ohio,2001.0,69870,4.3,107.28263686187186,8.9,-0.2487856021578687,-0.6457780797881149,-0.07297848736265133,-0.5949694896768558
Ohio,2002.0,70490,5.7,107.28263686187186,9.2,-0.19780026348372443,0.04669109909645866,-0.07297848736265133,-0.5303260103608903
Ohio,2003.0,70410,6.2,107.28263686187186,8.0,-0.20437901686103338,0.2940015201266634,-0.07297848736265133,-0.788899927624753
Ohio,2004.0,67950,6.3,107.28263686187186,8.9,-0.4066756832132832,0.34346360433270423,-0.07297848736265133,-0.5949694896768558
Ohio,2005.0,67800,5.9,107.28263686187186,9.5,-0.41901084579573744,0.14561526750854065,-0.07297848736265133,-0.46568253104492446
Ohio,2006.0,68420,5.4,107.28263686187186,9.6,-0.3680255071215932,-0.10169515352166411,-0.07297848736265133,-0.4441347046062693
Ohio,2007.0,71360,5.6,107.28263686187186,9.5,-0.12625632050548974,-0.002770985109582556,-0.07297848736265133,-0.46568253104492446
Ohio,2008.0,65800,6.4,107.28263686187186,9.6,-0.5834796802284609,0.39292568853874543,-0.07297848736265133,-0.4441347046062693
Ohio,2009.0,64580,10.3,107.28263686187186,8.4,-0.6838056692324223,2.321946972574343,-0.07297848736265133,-0.702708621870132
Ohio,2010.0,63710,10.3,109.01535339893036,9.9,-0.7553496122106569,2.321946972574343,-0.06963275352224826,-0.37949122529030344
Ohio,2011.0,60130,8.8,109.01535339893036,10.4,-1.0497488258452319,1.5800157094837286,-0.06963275352224826,-0.2717520930970272
Ohio,2012.0,58630,7.4,109.01535339893036,10.7,-1.1731004516697745,0.887546530599155,-0.06963275352224826,-0.2071086137810617
Ohio,2013.0,66250,7.5,109.01535339893036,10.9,-0.5464741924810981,0.9370086148051957,-0.06963275352224826,-0.164012960903751
Ohio,2014.0,63900,5.8,109.01535339893036,10.2,-0.7397250729395481,0.09615318330249945,-0.06963275352224826,-0.3148477459743379
Ohio,2015.0,68650,4.9,109.01535339893036,11.8,-0.34911159116183,-0.34900557455186887,-0.06963275352224826,0.029917477044146257
Ohio,2016.0,68920,5.0,109.01535339893036,12.8,-0.32690829851341235,-0.2995434903458281,-0.06963275352224826,0.24539574143069867
Ohio,2017.0,76140,5.0,109.01535339893036,13.5,0.2668241937887193,-0.2995434903458281,-0.06963275352224826,0.3962305265012852
Ohio,2018.0,75800,4.6,109.01535339893036,13.0,0.2388644919351563,-0.4973918271699921,-0.06963275352224826,0.288491394308009
Ohio,2019.0,78370,4.1,109.01535339893036,13.3,0.45020694418120594,-0.7447022482001969,-0.06963275352224826,0.3531348736239749
Ohio,2020.0,72420,8.2,111.50006913986265,15.1,-0.03908783825614631,1.2832432042474822,-0.06483497075719653,0.740995749519769
Oklahoma,2000.0,55450,3.0,19.42224094801237,12.9,-1.4346058984178047,-1.2887851744666472,-0.24262972202983019,0.26694356786935386
Oklahoma,2001.0,59540,3.7,19.42224094801237,13.6,-1.0982671320028852,-0.9425505850243604,-0.24262972202983019,0.41777835293994037
Oklahoma,2002.0,60210,4.7,19.42224094801237,12.7,-1.043170072467923,-0.4479297429639509,-0.24262972202983019,0.22384791499204312
Oklahoma,2003.0,58080,5.5,19.42224094801237,12.6,-1.2183293811387734,-0.05223306931562333,-0.24262972202983019,0.20230008855338796
Oklahoma,2004.0,62520,4.9,19.42224094801237,12.7,-0.8532085686981273,-0.34900557455186887,-0.24262972202983019,0.22384791499204312
Oklahoma,2005.0,57740,4.5,19.42224094801237,12.9,-1.2462890829923363,-0.5468539113760329,-0.24262972202983019,0.26694356786935386
Oklahoma,2006.0,57890,4.0,19.42224094801237,13.2,-1.2339539204098822,-0.7941643324062376,-0.24262972202983019,0.33158704718531934
Oklahoma,2007.0,62810,4.1,19.42224094801237,13.0,-0.8293605877053825,-0.7447022482001969,-0.24262972202983019,0.288491394308009
Oklahoma,2008.0,64640,3.7,19.42224094801237,13.8,-0.6788716041994405,-0.9425505850243604,-0.24262972202983019,0.4608740058172511
Oklahoma,2009.0,64580,6.4,19.42224094801237,14.3,-0.6838056692324223,0.39292568853874543,-0.24262972202983019,0.5686131380105273
Oklahoma,2010.0,59850,6.8,21.114734482960955,14.3,-1.0727744626658131,0.590774025362909,-0.2393616555149495,0.5686131380105273
Oklahoma,2011.0,65260,5.9,21.114734482960955,16.5,-0.6278862655252962,0.14561526750854065,-0.2393616555149495,1.0426653196609426
Oklahoma,2012.0,63960,5.2,21.114734482960955,16.2,-0.7347910079065665,-0.2006193219337461,-0.2393616555149495,0.9780218403449765
Oklahoma,2013.0,60260,5.3,21.114734482960955,16.4,-1.0390583516071048,-0.15115723772770534,-0.2393616555149495,1.0211174932222868
Oklahoma,2014.0,60750,4.5,21.114734482960955,15.7,-0.9987634871710876,-0.5468539113760329,-0.2393616555149495,0.8702827081517004
Oklahoma,2015.0,60640,4.4,21.114734482960955,17.9,-1.0078092730648873,-0.5963159955820737,-0.2393616555149495,1.3443348898021155
Oklahoma,2016.0,65040,4.8,21.114734482960955,19.6,-0.6459778373128958,-0.3984676587579101,-0.2393616555149495,1.7106479392592553
Oklahoma,2017.0,65100,4.2,21.114734482960955,17.2,-0.6410437722799142,-0.6952401639941557,-0.2393616555149495,1.193500104731529
Oklahoma,2018.0,66950,3.4,21.114734482960955,16.8,-0.48891010042964494,-1.0909368376424835,-0.2393616555149495,1.1073087989769084
Oklahoma,2019.0,71990,3.1,21.114734482960955,18.6,-0.07444863765918185,-1.2393230902606063,-0.2393616555149495,1.4951696748727028
Oklahoma,2020.0,62940,6.3,22.285487900043183,20.7,-0.8186701134672554,0.34346360433270423,-0.23710102647233114,1.9476740300844624
Oregon,2000.0,72660,5.1,13.760954657403776,10.7,-0.019351578124219497,-0.25008140613978735,-0.2535612025793575,-0.2071086137810617
Oregon,2001.0,69010,6.4,13.760954657403776,9.8,-0.31950720096393975,0.39292568853874543,-0.2535612025793575,-0.4010390517289586
Oregon,2002.0,69040,7.5,13.760954657403776,10.3,-0.3170401684474489,0.9370086148051957,-0.2535612025793575,-0.29329991953568235
Oregon,2003.0,67360,8.1,13.760954657403776,10.6,-0.45519398937093664,1.2337811200414412,-0.2535612025793575,-0.22865644021971687
Oregon,2004.0,64700,7.3,13.760954657403776,10.1,-0.6739375391664588,0.8380844463931137,-0.2535612025793575,-0.33639557241299306
Oregon,2005.0,67730,6.2,13.760954657403776,10.3,-0.4247672550008828,0.2940015201266634,-0.2535612025793575,-0.29329991953568235
Oregon,2006.0,70190,5.3,13.760954657403776,9.8,-0.22247058864863295,-0.15115723772770534,-0.2535612025793575,-0.4010390517289586
Oregon,2007.0,73010,5.2,13.760954657403776,9.7,0.009430467901507106,-0.2006193219337461,-0.2535612025793575,-0.42258687816761414
Oregon,2008.0,72520,6.5,13.760954657403776,9.5,-0.030864396534510136,0.4423877727447862,-0.2535612025793575,-0.46568253104492446
